id,group
AirForce,Mountain West
Akron,Mid-American
Alabama,Southeastern
AlabamaBirmingham,Conference USA
Arizona,Pacific Ten
ArizonaState,Pacific Ten
Arkansas,Southeastern
ArkansasState,Sun Belt
Army,Conference USA
Auburn,Southeastern
BallState,Mid-American
Baylor,Big Twelve
BoiseState,Western Athletic
BostonCollege,Big East
BowlingGreenState,Mid-American
BrighamYoung,Mountain West
Buffalo,Mid-American
California,Pacific Ten
CentralFlorida,Independents
CentralMichigan,Mid-American
Cincinnati,Conference USA
Clemson,Atlantic Coast
Colorado,Big Twelve
ColoradoState,Mountain West
Connecticut,Independents
Duke,Atlantic Coast
EastCarolina,Conference USA
EasternMichigan,Mid-American
Florida,Southeastern
FloridaState,Atlantic Coast
FresnoState,Western Athletic
Georgia,Southeastern
GeorgiaTech,Atlantic Coast
Hawaii,Western Athletic
Houston,Conference USA
Idaho,Sun Belt
Illinois,Big Ten
Indiana,Big Ten
Iowa,Big Ten
IowaState,Big Twelve
Kansas,Big Twelve
KansasState,Big Twelve
Kent,Mid-American
Kentucky,Southeastern
LouisianaLafayette,Sun Belt
LouisianaMonroe,Sun Belt
LouisianaState,Southeastern
LouisianaTech,Western Athletic
Louisville,Conference USA
Marshall,Mid-American
Maryland,Atlantic Coast
Memphis,Conference USA
MiamiFlorida,Big East
MiamiOhio,Mid-American
Michigan,Big Ten
MichiganState,Big Ten
MiddleTennesseeState,Sun Belt
Minnesota,Big Ten
Mississippi,Southeastern
MississippiState,Southeastern
Missouri,Big Twelve
Navy,Independents
Nebraska,Big Twelve
Nevada,Western Athletic
NevadaLasVegas,Mountain West
NewMexico,Mountain West
NewMexicoState,Sun Belt
NorthCarolina,Atlantic Coast
NorthCarolinaState,Atlantic Coast
NorthTexas,Sun Belt
NorthernIllinois,Mid-American
Northwestern,Big Ten
NotreDame,Independents
Ohio,Mid-American
OhioState,Big Ten
Oklahoma,Big Twelve
OklahomaState,Big Twelve
Oregon,Pacific Ten
OregonState,Pacific Ten
PennState,Big Ten
Pittsburgh,Big East
Purdue,Big Ten
Rice,Western Athletic
Rutgers,Big East
SanDiegoState,Mountain West
SanJoseState,Western Athletic
SouthCarolina,Southeastern
SouthernCalifornia,Pacific Ten
SouthernMethodist,Western Athletic
SouthernMississippi,Conference USA
Stanford,Pacific Ten
Syracuse,Big East
Temple,Big East
Tennessee,Southeastern
Texas,Big Twelve
TexasA&M,Big Twelve
TexasChristian,Conference USA
TexasElPaso,Western Athletic
TexasTech,Big Twelve
Toledo,Mid-American
Tulane,Conference USA
Tulsa,Western Athletic
UCLA,Pacific Ten
Utah,Mountain West
UtahState,Independents
Vanderbilt,Southeastern
Virginia,Atlantic Coast
VirginiaTech,Big East
WakeForest,Atlantic Coast
Washington,Pacific Ten
WashingtonState,Pacific Ten
WestVirginia,Big East
WesternMichigan,Mid-American
Wisconsin,Big Ten
Wyoming,Mountain West
